"subj_idx","age","trial_num","trial_type","rt","response"
"1616_7",5.48392,23,"all",7.595,1
"1616_7",5.48392,24,"some",4.241,0
"1616_7",5.48392,25,"none",1.263,0
"1616_7",5.48392,26,"none",2.165,0
"1616_7",5.48392,27,"some",3.785,0
"1616_7",5.48392,28,"all",1.479,1
"1616_7",5.48392,29,"none",1.958,0
"1616_7",5.48392,30,"none",3.51,0
"1616_8",5.9384,1,"all",8.281,1
"1616_8",5.9384,2,"some",3.841,0
"1616_8",5.9384,3,"none",9.172,1
"1616_8",5.9384,4,"all",2.027,1
"1616_8",5.9384,5,"all",1.593,1
"1616_8",5.9384,6,"some",1.684,0
"1616_8",5.9384,7,"none",2.558,1
"1616_8",5.9384,8,"none",4.092,1
"1616_8",5.9384,9,"none",3.148,1
"1616_8",5.9384,10,"all",1.581,1
"1616_8",5.9384,11,"none",2.581,1
"1616_8",5.9384,12,"all",3.179,1
"1616_8",5.9384,13,"all",2.04,1
"1616_8",5.9384,14,"all",2.362,1
"1616_8",5.9384,15,"all",2.54,1
"1616_8",5.9384,16,"some",3.386,0
"1616_8",5.9384,17,"none",1.669,1
"1616_8",5.9384,18,"none",2.1,1
"1616_8",5.9384,19,"some",1.613,0
"1616_8",5.9384,20,"some",2.36,0
"1616_8",5.9384,21,"all",2.604,1
"1616_8",5.9384,22,"some",1.792,0
"1616_8",5.9384,23,"none",2.732,1
"1616_8",5.9384,24,"none",1.687,1
"1616_8",5.9384,25,"none",3.76,1
"1616_8",5.9384,26,"some",2.27,0
"1616_8",5.9384,27,"some",1.439,0
"1616_8",5.9384,28,"some",1.334,0
"1616_8",5.9384,29,"some",1.219,0
"1616_8",5.9384,30,"all",1.052,1
"1616_9",4.06297,1,"all",4.074,1
"1616_9",4.06297,2,"all",2.616,0
"1616_9",4.06297,3,"some",2.414,1
"1616_9",4.06297,4,"none",4.415,1
"1616_9",4.06297,5,"some",2.55,1
"1616_9",4.06297,6,"all",2.719,1
"1616_9",4.06297,7,"some",3.313,1
"1616_9",4.06297,8,"all",1.701,1
"1616_9",4.06297,9,"all",2.604,1
"1616_9",4.06297,10,"none",2.552,0
"1616_9",4.06297,11,"none",4.265,0
"1616_9",4.06297,12,"some",2.455,1
"1616_9",4.06297,13,"some",1.804,1
"1616_9",4.06297,14,"all",2.153,0
"1616_9",4.06297,15,"none",5.115,0
"1616_9",4.06297,16,"all",1.308,1
"1616_9",4.06297,17,"all",2.309,1
"1616_9",4.06297,18,"none",3.209,0
"1616_9",4.06297,19,"some",1.183,1
"1616_9",4.06297,20,"none",2.09,0
"1616_9",4.06297,21,"none",3.896,0
"1616_9",4.06297,22,"none",2.315,1
"1616_9",4.06297,23,"none",2.153,0
"1616_9",4.06297,24,"some",2.221,1
"1616_9",4.06297,25,"none",3.601,1
"1616_9",4.06297,26,"all",3.268,1
"1616_9",4.06297,27,"all",1.255,1
"1616_9",4.06297,28,"some",2.704,0
"1616_9",4.06297,29,"some",1.535,1
"1616_9",4.06297,30,"some",1.288,1
"1716_1",3.73443,1,"all",10.726,0
"1716_1",3.73443,2,"none",8.157,0
"1716_1",3.73443,3,"some",4.943,0
"1716_1",3.73443,4,"none",2.799,0
"1716_1",3.73443,5,"none",8.621,0
"1716_1",3.73443,6,"none",1.347,0
"1716_1",3.73443,7,"some",10.645,0
"1716_1",3.73443,8,"none",1.941,0
"1716_1",3.73443,9,"none",3.176,0
"1716_1",3.73443,10,"none",0.706,0
"1716_1",3.73443,11,"some",1.949,0
"1716_1",3.73443,12,"all",1.034,1
"1716_1",3.73443,13,"all",1.693,1
"1716_1",3.73443,14,"some",0.983,0
"1716_1",3.73443,17,"some",1.01,1
"1716_1",3.73443,18,"some",1.207,1
"1716_1",3.73443,19,"all",7.987,1
"1716_1",3.73443,20,"some",0.87,0
"1716_2",5.05407,1,"some",1.688,0
"1716_2",5.05407,2,"none",1.261,0
"1716_2",5.05407,3,"none",2.928,0
"1716_2",5.05407,4,"all",1.597,1
"1716_2",5.05407,5,"some",1.284,0
"1716_2",5.05407,6,"some",1.849,0
"1716_2",5.05407,7,"some",1.59,0
"1716_2",5.05407,8,"all",1.343,1
"1716_2",5.05407,9,"none",1.507,0
"1716_2",5.05407,10,"some",1.323,0
"1716_2",5.05407,11,"all",1.334,0
"1716_2",5.05407,12,"none",1.361,0
"1716_2",5.05407,13,"some",3.529,0
"1716_2",5.05407,14,"some",1.051,0
"1716_2",5.05407,15,"none",1.875,0
"1716_2",5.05407,16,"all",3.123,1
"1716_2",5.05407,17,"none",2.536,0
"1716_2",5.05407,18,"some",1.744,0
"1716_2",5.05407,19,"none",1.169,0
"1716_2",5.05407,20,"none",0.958,0
"1716_2",5.05407,21,"all",1.495,1
"1716_2",5.05407,22,"all",1.852,1
"1716_2",5.05407,23,"none",0.904,0
"1716_2",5.05407,24,"all",0.881,1
"1716_2",5.05407,26,"some",1.495,0
"1716_2",5.05407,27,"all",1.466,1
"1716_2",5.05407,28,"all",0.936,1
"1716_2",5.05407,29,"all",1.475,1
"1716_2",5.05407,30,"none",1.405,0
"1716_3",4.60233,1,"none",4.004,1
"1716_3",4.60233,2,"all",3.041,1
"1716_3",4.60233,3,"some",4.337,1
"1716_3",4.60233,4,"some",3.377,1
"1716_3",4.60233,5,"all",1.95,1
"1716_3",4.60233,6,"all",1.429,1
"1716_3",4.60233,7,"some",1.982,1
"1716_3",4.60233,8,"some",1.214,1
"1716_3",4.60233,9,"none",5.768,1
"1716_3",4.60233,10,"some",2.612,1
"1716_3",4.60233,11,"some",1.786,1
"1716_3",4.60233,12,"some",3.01,1
"1716_3",4.60233,13,"none",3.365,1
"1716_3",4.60233,14,"all",1.441,1
"1716_3",4.60233,15,"all",3.318,1
"1716_3",4.60233,16,"none",3.247,0
"1716_3",4.60233,17,"all",2.285,0
"1716_3",4.60233,18,"none",2.552,0
"1716_3",4.60233,19,"all",1.705,1
"1716_3",4.60233,20,"all",1.212,1
"1716_3",4.60233,21,"some",0.982,1
"1716_3",4.60233,22,"none",2.187,0
"1716_3",4.60233,23,"all",1.405,1
"1716_3",4.60233,24,"none",1.95,0
"1716_3",4.60233,25,"some",1.902,1
"1716_3",4.60233,26,"all",1.148,1
"1716_3",4.60233,27,"none",2.492,0
"1716_3",4.60233,28,"none",3.911,0
"1716_3",4.60233,29,"some",3.474,1
"1716_3",4.60233,30,"none",5.474,0
"1816_1",4.56947,1,"none",14.741,0
"1816_1",4.56947,2,"some",3.291,0
"1816_1",4.56947,3,"some",6.225,1
"1816_1",4.56947,4,"some",4.188,0
"1816_1",4.56947,5,"all",3.352,1
"1816_1",4.56947,6,"none",3.887,0
"1816_1",4.56947,7,"some",2.084,1
"1816_1",4.56947,8,"none",2.449,0
"1816_1",4.56947,9,"all",2.627,0
"1816_1",4.56947,10,"all",1.47,1
"1816_1",4.56947,11,"all",1.588,0
"1816_1",4.56947,12,"none",1.589,0
"1816_1",4.56947,13,"all",1.4,1
"1816_1",4.56947,14,"all",1.905,1
"1816_1",4.56947,15,"all",1.582,1
"1816_1",4.56947,16,"all",1.554,1
"1816_1",4.56947,17,"none",3.069,0
"1816_1",4.56947,18,"none",1.335,0
"1816_1",4.56947,19,"some",1.01,0
"1816_1",4.56947,20,"none",2.492,0
"1816_1",4.56947,21,"some",2.2,0
"1816_1",4.56947,22,"all",0.912,1
"1816_1",4.56947,23,"none",12.393,1
"1816_1",4.56947,24,"some",2.971,1
"1816_1",4.56947,25,"some",3.333,0
"1816_1",4.56947,26,"none",2.076,1
"1816_1",4.56947,27,"some",1.959,1
"1816_1",4.56947,28,"all",1.712,1
"1816_1",4.56947,29,"none",1.538,0
"1816_1",4.56947,30,"some",1.234,0
"1816_2",4.8898,1,"all",1.527,1
"1816_2",4.8898,2,"all",1.459,1
"1816_2",4.8898,3,"some",4.952,0
"1816_2",4.8898,4,"some",1.266,1
"1816_2",4.8898,5,"all",1.57,1
"1816_2",4.8898,6,"some",3.099,0
"1816_2",4.8898,7,"some",5.794,0
"1816_2",4.8898,8,"none",1.102,1
"1816_2",4.8898,9,"some",2.446,1
"1816_2",4.8898,10,"none",7.377,0
"1816_2",4.8898,11,"some",1.334,0
"1816_2",4.8898,12,"all",0.779,1
"1816_2",4.8898,13,"none",7.007,0
"1816_2",4.8898,14,"none",2.217,0
"1816_2",4.8898,15,"none",1.73,1
"1816_2",4.8898,16,"some",2.03,1
"1816_2",4.8898,17,"some",4.924,0
"1816_2",4.8898,19,"all",1.679,0
"1816_2",4.8898,20,"all",2.028,1
"1816_2",4.8898,21,"some",1.168,0
"1816_2",4.8898,22,"none",14.503,1
"1816_2",4.8898,23,"none",2.815,0
"1816_2",4.8898,24,"none",6.622,0
"1816_2",4.8898,25,"none",2.508,0
"1816_2",4.8898,26,"some",1.115,1
"1816_2",4.8898,27,"all",1.579,0
"1816_2",4.8898,28,"none",4.02,0
"1816_2",4.8898,29,"all",2.407,1
"1816_3",4.61875,1,"none",2.696,1
"1816_3",4.61875,2,"none",2.629,1
"1816_3",4.61875,3,"none",1.844,1
"1816_3",4.61875,4,"none",1.942,1
"1816_3",4.61875,5,"all",1.979,1
"1816_3",4.61875,6,"some",1.875,0
"1816_3",4.61875,7,"all",3.052,1
"1816_3",4.61875,8,"all",1.173,1
"1816_3",4.61875,9,"none",2.109,1
"1816_3",4.61875,10,"none",3.683,1
"1816_3",4.61875,11,"all",4.301,1
"1816_3",4.61875,12,"some",2.104,1
"1816_3",4.61875,13,"all",1.449,1
"1816_3",4.61875,14,"some",2.358,1
"1816_3",4.61875,15,"all",1.929,1
"1816_3",4.61875,16,"some",2.046,1
"1816_3",4.61875,17,"some",2.648,0
"1816_3",4.61875,18,"none",4.324,1
"1816_3",4.61875,19,"all",1.336,0
"1816_3",4.61875,20,"some",2.105,1
"1816_3",4.61875,21,"some",3.763,1
